字	对应向量	训练样本数1000
举	[-0.97522163  1.0951747   1.1550853  -2.4435492  -0.49116006]
招	[ 0.8553404   1.608603   -0.12209293  0.5119996  -0.09913067]
雷	[ 1.9531813 -0.8463128  2.113382   1.453867  -1.6604136]
髦	[-0.87226576  0.59193766  0.9821762   0.9213973  -1.0795896 ]
屈	[-1.8435504   0.29364246  1.2767888  -0.4550742  -1.8684679 ]
甚	[-1.5976272  -0.38598123  2.9040556   0.32526314  0.17603135]
驽	[ 0.2623972  -0.9371188   0.9680569   0.7803932   0.54391277]
骤	[-0.34731552 -1.2580389  -0.5588509  -0.19622365  0.5578086 ]
浴	[-0.60087806 -0.58829683 -0.29175606 -0.47952145 -1.4553827 ]
卒	[ 1.1904148  -0.7849421   0.44113618 -0.98597234  0.5158617 ]
绅	[-0.29949126 -1.1372675   0.23023126  0.15865949 -0.34700876]
船	[-1.0493132   0.44443208  1.2461797  -0.2759115   1.0899276 ]
壁	[-0.24869329  0.23176654 -0.7189189  -1.683486    0.19701272]
□	[ 1.0433536   0.4003941   1.5006117   0.7592228  -0.09412305]
插	[ 1.2413361  -0.6148272   0.35355046  0.83991134  1.2928736 ]
出	[ 0.19925496  0.40698132 -0.30297366 -0.01306669  0.37160912]
齐	[ 0.26920572  2.3822231  -0.4633657  -0.91343284  0.23594439]
竿	[ 1.7762203   0.03447803 -1.0813903   0.8443264  -2.0736363 ]
课	[-0.06231916  0.01155423  0.3899446  -0.610684   -1.1305946 ]
应	[-0.23800123 -1.3479278  -0.2840351   0.8316169  -1.9761345 ]
谦	[-0.9893156   0.19955559  1.2136517   0.05664646 -0.09645855]
泛	[-1.2095395   0.17802621 -0.20175835  0.9486126  -0.01139306]
打	[-1.5717715   0.47525448  1.1544722  -0.61396676  0.53323317]
鞘	[ 1.1990131  -0.29007745  0.6675874   0.86804146  0.39342514]
渎	[-0.21992019 -0.70177084  0.23588541  0.16741887  0.8985878 ]
霜	[-0.40478313 -0.3525399   0.32506964 -0.08179145 -0.7517879 ]
摧	[-0.19880787 -0.00488544  3.508468   -0.31828836 -1.0574175 ]
阖	[-0.8302808  -0.5358433  -0.4095457  -0.28512847  0.153119  ]
橛	[1.1486173  0.14442228 1.4150826  0.30189443 0.05679246]
夫	[-0.8608277 -0.5537543 -0.5464635 -1.3674132  0.701067 ]
磻	[ 0.08421568 -0.25647205 -0.6556028  -0.35443607 -0.09836019]
絺	[ 0.7832789   0.2545535  -1.3449026  -2.1096249  -0.49971664]
礼	[-1.0425861   0.6738713   0.64561415  1.6121528  -1.9733751 ]
勇	[-1.1427938  -0.614292   -0.66248286 -0.09082673  1.0820068 ]
徵	[2.1235132  1.5561911  0.5068532  0.80903727 1.1812708 ]
润	[-1.4623052   0.87929815  0.20951134 -1.5726418   0.46228772]
踯	[-0.3329872  -1.6229061  -0.03928684  1.36445     1.6949424 ]
匡	[-0.29737657 -0.3912193   0.8027717  -0.04469728  1.0306547 ]
宋	[ 0.24892396  1.153516   -0.6911675   1.0261549   0.52972656]
词	[-0.32468975 -0.4604125  -1.0422399  -0.34467626 -0.24716341]
窣	[ 1.120152    0.17177048  1.238114   -0.2991505   1.4537632 ]
慝	[ 0.1877718  -1.5454974  -1.1473278  -0.31219923  1.957656  ]
瓒	[-1.1256949   1.718059    1.8050193  -0.16145135 -0.73255426]
写	[-0.27449805 -0.4545688  -0.5704471   0.1712093   0.08735987]
玲	[-0.8103025  -0.15615462 -1.5259136   1.7904289   0.5153977 ]
辛	[ 0.08156159 -0.08557674 -0.8816439  -0.9513521  -0.7553239 ]
泰	[-0.559098  -2.0648375 -0.3954796 -0.3788886  0.601965 ]
嗜	[-1.3250113  -0.5012751   0.75470245 -0.12746425  0.0766288 ]
梦	[ 0.7018114 -1.3931183 -1.6875793  0.1312922 -1.8325808]
斡	[-0.6238418   0.04732607 -0.7178061   0.325984    0.14538603]
横	[-0.00518574  1.3781812   0.38294864 -0.34155357 -0.23833536]
犒	[ 0.19322401  1.2575531  -0.28603807  0.9460783   1.2467533 ]
光	[ 1.4443303  -0.09116094 -0.10468155 -0.01754256  0.99072593]
騂	[-1.4943401   0.5041444  -0.14868638  1.4352854   1.7632704 ]
潭	[ 1.1638198   0.4048962   0.25260216  0.41365677 -0.7487995 ]
碗	[-1.6632774   1.7374622   0.49387735 -0.5309202   0.06097367]
季	[ 0.27151743  0.84461296  0.20358348 -0.6202753   1.1286055 ]
裁	[ 1.5670564  -0.5965875   1.6221142  -0.60047317 -0.17751665]
好	[-0.27704668 -1.2645379  -1.1520672  -1.4093304   0.62536114]
浪	[-1.5593003   0.32422742 -0.09358515  0.5193342  -0.21029386]
祈	[-2.327835    0.73549855 -0.49427852  1.360534    0.6669642 ]
十	[-1.9676639  -2.145389   -0.10070366  0.02908247  0.22003484]
茨	[-2.014748    0.3957216  -0.5968995   0.43449795  0.8445728 ]
飨	[-0.45011958  0.50998884 -1.114958    1.4916025   0.0828226 ]
