字	对应向量	训练样本数100
惟	[ 0.28892577  0.99006927 -0.2463492  -0.49072838  0.9350814 ]
端	[-0.81794983 -1.5386146   1.290267    0.5888755   1.5649892 ]
民	[-0.33627838 -1.5478663  -0.8943938  -0.52320194  0.43137175]
叶	[ 0.19610448 -0.62758625 -2.2123523  -1.0715079  -0.26109794]
素	[-0.78149116 -0.00588499 -0.1747138   0.18537667 -0.26713094]
夷	[ 1.8353292  0.530336  -1.418937   1.0801423 -0.8748794]
谅	[-1.7850833  -1.028072   -0.7407883  -0.8254038  -0.67522174]
晞	[-0.0301072  -0.5584962  -1.3452982   0.08231757 -0.23613504]
陇	[ 0.59001726  0.4137178  -1.4810975  -0.84214485  0.88734686]
晚	[-1.4005958  -0.01429847  0.97888774  1.0347714  -2.036154  ]
七	[-0.03496136  0.820132    0.59091365  0.993803    0.43160942]
荐	[-0.3041587   0.85103023 -0.3786226   0.367283    0.563078  ]
辇	[ 0.05248038 -0.7661548   1.0715708   0.39797872  1.5232846 ]
娇	[ 0.82627094 -0.58321553 -0.8986061  -1.2716095   1.4003636 ]
雾	[ 0.18525492  0.99089956  0.00681678 -1.1439316   0.56580484]
岩	[-0.61534274  0.5430616   1.5105659  -0.857153    0.17894037]
荇	[ 1.0326765  -0.19028808 -1.2776664  -0.2823043  -1.578139  ]
日	[-0.8978944   0.06214942 -0.04840408 -0.1269629  -0.48576143]
欢	[-0.604036   -0.6364373  -0.08862488 -1.205465    0.32045612]
瞩	[ 2.0748281   0.21194397  1.2544028  -1.8072257  -0.39480415]
衡	[-0.8802004   1.1917092   0.06796454  0.62657887 -1.0737734 ]
送	[ 1.47761    -0.914407   -2.1952324  -1.1258957   0.20284131]
图	[ 0.4944353  -0.32127297 -2.038181   -0.6920324   0.73529875]
三	[-2.4700973  -1.6947534  -0.55407125 -0.24900773 -0.24309999]
绮	[ 0.671283   -1.8289894  -0.7643283  -0.29947698 -1.4318719 ]
瑀	[-1.1264684   0.10336901  0.15996695 -0.32517567 -0.5871756 ]
数	[ 0.83245647 -0.37722704  0.41842803 -1.1572236  -0.03838761]
垂	[ 0.68928    0.6374928 -0.1691301 -1.7747431  0.6410977]
厚	[-0.32516414  0.68509567  0.07987212 -0.06822139 -0.46904114]
峰	[ 0.41424102  0.86736715 -1.8006861  -2.031816    0.39279014]
谯	[ 0.02943486 -2.241386    0.10554709 -0.0654952   0.17972872]
夕	[ 1.6609993   1.7299752  -0.13944213 -0.1746063   0.22525474]
先	[-1.0222811e+00 -4.1201711e-05  2.0545228e+00  2.1506977e-01
 -1.3677160e+00]
防	[ 0.51948863  1.8468803   0.13385369 -0.7707035   0.54998225]
京	[ 0.15811594 -1.3009517  -0.20926899 -1.2316754  -0.42696157]
春	[ 0.1142092   0.73687524 -0.8093964  -0.5829285  -1.475148  ]
万	[ 0.9136725  -1.0032424  -0.6029748  -0.7019746  -0.65825284]
名	[1.493127   0.14503331 1.2438346  1.5297315  1.1095158 ]
力	[ 0.50087863 -1.3388906   1.4659296   0.79131407 -2.465685  ]
举	[-0.8791882  -1.3569094  -0.31764743  1.307604    0.18245935]
满	[0.43283796 0.90429974 1.0908418  0.3550206  1.6907142 ]
銮	[ 0.3690792  -0.47655165  0.10897394  2.6119013  -1.4312382 ]
迎	[ 1.3922749  -0.4134133   0.7747247   0.74858165 -0.5527083 ]
岑	[ 0.6781816  -0.7634643  -0.20189814  1.5778486  -0.39639416]
琼	[-1.2140641  -1.1151564   0.65095246  0.3305362  -0.9618192 ]
写	[ 0.6025966   2.0019767   0.40586725 -0.20706242 -0.12695661]
1	[-0.7569587  -0.57837605  0.57850266  1.2726376  -0.60199815]
船	[-0.14787485 -0.75961614  0.23764944 -1.0359077   0.03069064]
翅	[ 0.43012875 -0.1499729   0.6033133  -0.43707773  0.0215785 ]
罢	[ 0.2394947  -1.4152304  -0.36215314  1.6932042   0.00735395]
浦	[ 0.1948191  -0.214266    0.61746305 -1.1862992   1.4009588 ]
濛	[ 0.03429287  0.9542612  -0.7086641  -2.527301   -0.28212458]
障	[ 1.430054   -0.0343792  -0.5468871   0.17885312 -0.29978755]
共	[ 0.12876752 -0.33599824  0.09094086 -0.24171463 -0.44186226]
栋	[ 1.0510598   0.08866699 -0.6879418  -0.21621633  0.23312947]
航	[-0.0651087  -0.09468102  0.28834924  0.79482585 -1.751219  ]
闺	[-1.0535998  -2.1248546  -0.07947405 -0.30556494  0.6124908 ]
才	[ 1.7354751   0.02379441 -0.42951685 -0.9414155   0.76747394]
云	[ 0.8813935  -0.8702507   0.54315335 -0.7188464   0.63399404]
持	[-1.2523869  -0.11389443  0.83257765 -0.14369729 -2.0787258 ]
臣	[-0.91095734 -0.18104807 -0.6030134   0.20940614  1.9803429 ]
叠	[ 0.61656445 -0.75723666  0.32855752 -1.4686749   1.6042775 ]
携	[ 0.23152322 -0.54386526  0.13289744  0.5300446  -1.2014583 ]
津	[-0.45043272  0.6049348  -1.700541   -0.8198555   0.4900765 ]
任	[ 1.5599822   0.17001821  0.62485045  0.5930982  -0.7651872 ]
眷	[-0.04543945  0.6777806   0.63105893  0.01238134  1.199287  ]
灯	[ 0.28754544 -0.10027886 -1.6886228   0.64327633  0.5585937 ]
弄	[ 0.6154274 -1.0482439  0.9275785 -0.1864699  1.342988 ]
匣	[-1.938752    0.2666703   0.00735284  0.85762507 -0.0774466 ]
景	[-0.62513226  0.8491638  -0.32327178 -0.6024647   0.24235347]
餐	[-1.0597715  -0.65046835 -2.4072604   0.00707588  0.9660138 ]
厉	[-0.8532582  -0.6406132  -0.86281866  0.6000311   3.127837  ]
获	[-0.9354454   0.06880195 -1.9711138  -0.625698    0.03085309]
途	[-0.0325617  -1.1602812   1.7473376  -2.0194168   0.97179496]
欹	[ 2.2698948  -0.6515297  -0.7174344   0.06144143 -0.4091039 ]
q	[-1.5426767 -2.1785812 -0.6436317 -1.0890034 -0.8078682]
芙	[ 0.3891905  -0.18098524  0.5218274  -1.0949005   1.0596215 ]
意	[ 0.27697808 -0.3469565  -0.89994943 -0.20756981  0.8956418 ]
寄	[ 0.46609664 -0.7612461   0.547284    0.8666212  -0.4842339 ]
耸	[ 1.4430345   0.5399874   1.9708341   0.44187623 -0.9053649 ]
差	[-0.3474698   1.0786247  -0.65554315  0.4647742   0.24798608]
l	[ 0.05549707 -2.0385914   0.28335565  0.04552736  0.6297607 ]
巧	[-0.62290794  0.2382728   0.12547679 -0.25351548  0.24215367]
就	[ 1.3696581  -1.324315    0.05883944 -2.3599858   0.05224562]
廓	[-0.5395596   0.3493176   0.6689195   0.09171336 -0.3670451 ]
怀	[ 0.892678   -0.40590405  0.14713804  0.6136909  -0.3517357 ]
肱	[-2.195383   -0.69736606  0.7445715  -0.5508845  -0.36842448]
残	[ 1.0107269  -1.2148008   0.09746023 -0.37561837 -0.42759374]
隐	[ 0.6390549   0.54411715 -0.22683498  0.9839374   0.42260942]
徘	[-0.00833045  1.0030072   0.7829895  -1.0749397   0.5150741 ]
毛	[-0.21555401 -0.07625196 -1.6160626  -0.52299744  0.13413861]
义	[ 1.1398246   0.36695647 -0.24305034  1.5982752   2.2664955 ]
替	[ 0.42468613  0.1988026  -0.8984695  -0.8782102   0.07384075]
当	[-1.6416965  -0.21516053  0.9530069   1.0131484   0.5580629 ]
暑	[ 1.2302091   2.6565294  -1.0581542  -0.8493532   0.10963494]
圭	[-2.9300923  1.1725782  1.3462362  0.3544288 -0.6436075]
