字	词频=出现次数*100/总字数
不	1.0356880094767307
人	0.8228518792458427
山	0.6307021874932915
无	0.6181732313582988
风	0.6151288121105436
一	0.6086496634550645
日	0.5865581084008408
云	0.5286360806614977
有	0.4983480122479328
来	0.48097921012932926
天	0.47711513954563994
中	0.44975439733183975
花	0.44503164439621945
时	0.444875520332232
上	0.438084123548778
春	0.43418102194909186
水	0.4337907117891232
月	0.4305901684773806
相	0.37801538992960754
年	0.37399519528193076
生	0.36817957389839834
君	0.3643545343307059
长	0.3591634092031233
心	0.354440656267503
自	0.3526842605476442
如	0.34175557606852286
知	0.33910146698073623
白	0.3339103418531536
归	0.32739216218167766
见	0.3195859589823053
秋	0.31798568732643395
此	0.3178295632624465
行	0.31162363171894547
去	0.3040125835995574
清	0.2942938606163388
夜	0.2940596745203576
江	0.2919519996565271
在	0.2905078520646432
下	0.2886343632967938
空	0.28797083602484713
得	0.2867999055449413
高	0.2817258734653492
里	0.2744661044899329
未	0.27310001893004276
明	0.2671673044985198
金	0.26002462857109404
多	0.2583853258992258
门	0.25701924033933565
青	0.254091914139571
客	0.25335032483563064
是	0.252686797563684
处	0.25253067349969655
三	0.2486666029160072
寒	0.24741761040410762
子	0.24546605960426454
落	0.24390481896439006
声	0.24367063286840887
玉	0.24105555479661914
千	0.23906497298077917
家	0.2355521815410616
事	0.23449834410914633
雨	0.23430318902916203
今	0.23406900293318086
道	0.2315710179093817
远	0.230634273525457
南	0.22595055160583358
朝	0.22595055160583358
前	0.22583345855784298
万	0.22544314839787438
出	0.2219303569581568
路	0.21818337942245805
入	0.2171295419905428
飞	0.21685632487856474
东	0.2154902393186746
我	0.21482671204672793
城	0.21338256445484405
草	0.21244582007091936
尽	0.2111577965430229
深	0.2099478350471202
新	0.20858174948723002
流	0.20772306713529906
烟	0.20756694307131163
树	0.2069814778313587
开	0.20670826071938064
思	0.20495186499952187
别	0.1994875227599612
已	0.1984727163440428
回	0.19769209602410556
地	0.19757500297611497
酒	0.1955063591282813
欲	0.19531120404829697
色	0.1951941110003064
将	0.19499895592032207
马	0.19484283185633464
西	0.19472573880834404
谁	0.194452521696366
还	0.19328159121646016
应	0.189651706728752
可	0.18785627999289636
成	0.18621697732102815
独	0.18563151208107523
闻	0.18508507785711917
闲	0.18457767464915995
光	0.18305546502528233
向	0.1806355420334769
